iso3,year,country,life_expectancy,gdp_per_capita
SDN,2023,Sudan,66.331,2181.079
SEN,2023,Senegal,68.6829,4304.7617
SGP,2023,Singapore,83.7362,129555.24
SLB,2023,Solomon Islands,70.5277,2339.575
SLE,2023,Sierra Leone,61.7858,3034.946
SLV,2023,El Salvador,72.0993,11424.6455
SMR,2023,San Marino,85.7062,70951.79
SOM,2023,Somalia,58.8158,1401.6473
SRB,2023,Serbia,76.7693,24487.047
STP,2023,Sao Tome and Principe,69.7182,5541.302
SUR,2023,Suriname,73.631,19020.867
SVK,2023,Slovakia,78.3414,39518.223
SVN,2023,Slovenia,81.6034,47977.426
SWE,2023,Sweden,83.2624,62662.766
SWZ,2023,Eswatini,64.1227,10181.504
SXM,2023,Sint Maarten (Dutch part),76.371,46571.09
SYC,2023,Seychelles,72.862,28635.355
SYR,2022,Syria,72.7898,4454.8535
TCA,2023,Turks and Caicos Islands,78.0077,31839.371
TCD,2023,Chad,55.0692,2433.0989
TGO,2023,Togo,62.7387,2842.2307
THA,2023,Thailand,76.4115,21191.453
TJK,2023,Tajikistan,71.7901,4472.324
TKM,2023,Turkmenistan,70.0727,17866.404
TLS,2023,East Timor,67.6894,4331.078
TON,2023,Tonga,72.8947,7030.419
TTO,2023,Trinidad and Tobago,73.4896,31196.604
TUN,2023,Tunisia,76.5077,12650.962
TUR,2023,Turkey,77.1557,35069.17
TUV,2023,Tuvalu,67.1049,5812.3994
TZA,2023,Tanzania,66.9953,3620.7935
UGA,2023,Uganda,68.2523,2791.0557
UKR,2023,Ukraine,73.4225,15916.958
URY,2023,Uruguay,78.1385,31059.254
USA,2023,United States,79.3043,74158.72
UZB,2023,Uzbekistan,72.3884,10007.686
VCT,2023,Saint Vincent and the Grenadines,71.2301,17858.244
VIR,2022,United States Virgin Islands,75.0449,46479.3
VNM,2023,Vietnam,74.5883,13545.935
VUT,2023,Vanuatu,71.4769,3214.7024
WSM,2023,Samoa,71.6982,7383.7456
ZAF,2023,South Africa,66.1387,13695.376
ZMB,2023,Zambia,66.3487,3673.4841
ZWE,2023,Zimbabwe,62.7748,5218.0225
